trip,city,b_state,b_boardcomputer,b_battery_pack,p_bikes,p_address,b_lock_types,p_spot,p_name,p_lng,p_bike_racks,b_pedelec_battery,b_active,b_electric_lock,p_lat,datetime,p_terminal_type,p_special_racks,p_rack_locks,p_bike_types,p_bike,p_maintenance,b_bike_type,p_free_special_racks,b_number,p_free_racks,p_place_type,p_booked_bikes,p_uid,p_number
first,dresden,ok,7551002493,,1,,frame_lock,True,Buchenstr. / Hechtstr.,13.747447729111,0,,True,True,51.078514918873,2019-05-13 00:00:00,,0,False,"{""15"": 1}",False,False,15,0,93762,0,0,0,264540,4341
start,dresden,ok,7551002493,,1,,frame_lock,True,Buchenstr. / Hechtstr.,13.747447729111,0,,True,True,51.078514918873,2019-05-13 07:18:00,,0,False,"{""15"": 1}",False,False,15,0,93762,0,0,0,264540,4341
end,dresden,ok,7551002493,,1,,frame_lock,True,Schauburg,13.750328421593,0,,True,True,51.071143657107,2019-05-13 07:24:00,,0,False,"{""15"": 1}",False,False,15,0,93762,0,0,0,121771,4327
start,dresden,ok,7551002493,,1,,frame_lock,True,Schauburg,13.750328421593,0,,True,True,51.071143657107,2019-05-13 10:03:00,,0,False,"{""15"": 1}",False,False,15,0,93762,0,0,0,121771,4327
end,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.748815555556,0,,True,True,51.064462222222,2019-05-13 10:10:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15684181,0
start,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.748494444444,0,,True,True,51.064417777778,2019-05-13 12:33:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15684181,0
end,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.730446666667,0,,True,True,51.028484444444,2019-05-13 12:50:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15690398,0
start,dresden,ok,7551002493,,1,,frame_lock,True,TU Dresden Hörsaalzentrum,13.730576634407,0,,True,True,51.029205917714,2019-05-13 12:58:00,sign,0,False,"{""15"": 1}",False,False,15,0,93762,0,0,0,4405587,4452
end,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.760126666667,0,,True,True,51.02788,2019-05-13 13:12:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15691386,0
start,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.760736666667,0,,True,True,51.0282,2019-05-13 16:56:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15691386,0
end,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.728544444444,0,,True,True,51.08412,2019-05-13 17:23:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15704429,0
start,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.728698888889,0,,True,True,51.084146666667,2019-05-13 18:28:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15704429,0
end,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.728698888889,0,,True,True,51.084146666667,2019-05-13 18:30:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15704429,0
start,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.728698888889,0,,True,True,51.084226666667,2019-05-13 20:57:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15704429,0
end,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.728698888889,0,,True,True,51.084226666667,2019-05-13 20:59:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15704429,0
last,dresden,ok,7551002493,,1,,frame_lock,False,BIKE 93762,13.728632222222,0,,True,True,51.084146666667,2019-05-13 23:59:00,,0,False,"{""15"": 1}",True,False,15,0,93762,0,12,0,15704429,0
first,dresden,ok,7551003241,,1,,frame_lock,False,BIKE 93150,13.728348888889,0,,True,True,51.046257777778,2019-05-13 00:00:00,,0,False,"{""undefined"": 1}",True,False,0,0,93150,0,12,0,15669340,0
last,dresden,ok,7551003241,,1,,frame_lock,False,BIKE 93150,13.728415555556,0,,True,True,51.045968888889,2019-05-13 09:08:00,,0,False,"{""undefined"": 1}",True,False,0,0,93150,0,12,0,15669340,0
first,dresden,ok,7551007225,,1,,frame_lock,True,Altmarkt / Seestraße ,13.736944198608,0,,True,True,51.049427508558,2019-05-13 00:00:00,,0,False,"{""undefined"": 1}",False,False,0,0,93382,0,0,0,43026,4413
start,dresden,ok,7551007225,,3,,frame_lock,True,Altmarkt / Seestraße ,13.736944198608,0,,True,True,51.049427508558,2019-05-13 08:15:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93382,0,0,0,43026,4413
end,dresden,ok,7551007225,,4,,frame_lock,True,Messe Dresden,13.716339468956,0,,True,True,51.068868339175,2019-05-13 08:50:00,free,0,False,"{""undefined"": 1, ""15"": 3}",False,False,0,0,93382,0,0,0,5307285,4467
start,dresden,ok,7551007225,,5,,frame_lock,True,Messe Dresden,13.716339468956,0,,True,True,51.068868339175,2019-05-13 13:02:00,free,0,False,"{""undefined"": 3, ""15"": 2}",False,False,0,0,93382,0,0,0,5307285,4467
end,dresden,ok,7551007225,,1,,frame_lock,False,BIKE 93382,13.741507777778,0,,True,True,51.04944,2019-05-13 19:37:00,,0,False,"{""undefined"": 1}",True,False,0,0,93382,0,12,0,15709538,0
start,dresden,ok,7551007225,,1,,frame_lock,False,BIKE 93382,13.741424444444,0,,True,True,51.051017777778,2019-05-13 20:40:00,,0,False,"{""undefined"": 1}",True,False,0,0,93382,0,12,0,15709538,0
end,dresden,ok,7551007225,,1,,frame_lock,False,BIKE 93382,13.736204444444,0,,True,True,51.043408888889,2019-05-13 20:48:00,,0,False,"{""undefined"": 1}",True,False,0,0,93382,0,12,0,15711407,0
start,dresden,ok,7551007225,,1,,frame_lock,False,BIKE 93382,13.735027777778,0,,True,True,51.043951111111,2019-05-13 20:57:00,,0,False,"{""undefined"": 1}",True,False,0,0,93382,0,12,0,15711407,0
end,dresden,ok,7551007225,,1,,frame_lock,False,BIKE 93382,13.735027777778,0,,True,True,51.043951111111,2019-05-13 20:59:00,,0,False,"{""undefined"": 1}",True,False,0,0,93382,0,12,0,15711407,0
last,dresden,ok,7551007225,,1,,frame_lock,False,BIKE 93382,13.735595555556,0,,True,True,51.043831111111,2019-05-13 23:59:00,,0,False,"{""undefined"": 1}",True,False,0,0,93382,0,12,0,15711407,0
first,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 00:00:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,0,0,93149,0,0,0,264557,4355
start,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 05:24:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,0,0,93149,0,0,0,264557,4355
end,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 05:28:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,0,0,93149,0,0,0,264557,4355
start,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 18:28:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93149,0,0,0,264557,4355
end,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 18:30:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93149,0,0,0,264557,4355
start,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 20:57:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,0,0,93149,0,0,0,264557,4355
end,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 20:59:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,0,0,93149,0,0,0,264557,4355
last,dresden,ok,7551006901,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 23:59:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,0,0,93149,0,0,0,264557,4355
first,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.765201111111,0,,True,True,51.040262222222,2019-05-13 00:00:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15649646,0
start,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.764652222222,0,,True,True,51.040346666667,2019-05-13 12:14:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15649646,0
end,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.746512222222,0,,True,True,51.03784,2019-05-13 12:25:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15689353,0
start,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.746335555556,0,,True,True,51.037977777778,2019-05-13 12:47:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15689353,0
end,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.749987777778,0,,True,True,51.03348,2019-05-13 12:52:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15690484,0
start,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.750557777778,0,,True,True,51.033195555556,2019-05-13 14:41:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15690484,0
end,dresden,ok,7551005436,,5,,frame_lock,True,Wohnheim Gret-Palucca.Straße / Lenneplatz,13.744711875916,0,,True,True,51.038209747621,2019-05-13 14:47:00,free,0,False,"{""undefined"": 1, ""15"": 3, ""71"": 1}",False,False,15,0,93545,0,0,0,10299640,4486
start,dresden,ok,7551005436,,5,,frame_lock,True,Wohnheim Gret-Palucca.Straße / Lenneplatz,13.744711875916,0,,True,True,51.038209747621,2019-05-13 14:49:00,free,0,False,"{""undefined"": 1, ""15"": 3, ""71"": 1}",False,False,15,0,93545,0,0,0,10299640,4486
end,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.748815555556,0,,True,True,51.033693333333,2019-05-13 14:56:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15696673,0
start,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.748815555556,0,,True,True,51.033693333333,2019-05-13 16:02:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15696673,0
end,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.747422222222,0,,True,True,51.031697777778,2019-05-13 16:05:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15700491,0
start,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.747486666667,0,,True,True,51.032413333333,2019-05-13 18:28:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15700491,0
end,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.747486666667,0,,True,True,51.032413333333,2019-05-13 18:30:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15700491,0
start,dresden,ok,7551005436,,1,,frame_lock,True,Strehlener Platz/Ackermannstr. 1A,13.748906850815,0,,True,True,51.03265382547,2019-05-13 20:57:00,,0,False,"{""15"": 1}",False,False,15,0,93545,0,0,0,264546,4346
end,dresden,ok,7551005436,,1,,frame_lock,True,Strehlener Platz/Ackermannstr. 1A,13.748906850815,0,,True,True,51.03265382547,2019-05-13 20:59:00,,0,False,"{""15"": 1}",False,False,15,0,93545,0,0,0,264546,4346
last,dresden,ok,7551005436,,1,,frame_lock,False,BIKE 93545,13.746967777778,0,,True,True,51.031515555556,2019-05-13 23:59:00,,0,False,"{""15"": 1}",True,False,15,0,93545,0,12,0,15713093,0
first,dresden,ok,7551002304,,5,,frame_lock,True,Pohlandplatz,13.795416355133,0,,True,True,51.042955536027,2019-05-13 00:00:00,,0,False,"{""undefined"": 2, ""15"": 3}",False,True,0,0,93405,0,0,0,126784,4322
start,dresden,ok,7551002304,,5,,frame_lock,True,Pohlandplatz,13.795416355133,0,,True,True,51.042955536027,2019-05-13 18:28:00,,0,False,"{""undefined"": 1, ""15"": 4}",False,True,0,0,93405,0,0,0,126784,4322
end,dresden,ok,7551002304,,5,,frame_lock,True,Pohlandplatz,13.795416355133,0,,True,True,51.042955536027,2019-05-13 18:30:00,,0,False,"{""undefined"": 1, ""15"": 4}",False,True,0,0,93405,0,0,0,126784,4322
start,dresden,ok,7551002304,,3,,frame_lock,True,Pohlandplatz,13.795416355133,0,,True,True,51.042955536027,2019-05-13 20:57:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,True,0,0,93405,0,0,0,126784,4322
end,dresden,ok,7551002304,,3,,frame_lock,True,Pohlandplatz,13.795416355133,0,,True,True,51.042955536027,2019-05-13 20:59:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,True,0,0,93405,0,0,0,126784,4322
last,dresden,ok,7551002304,,3,,frame_lock,True,Pohlandplatz,13.795416355133,0,,True,True,51.042955536027,2019-05-13 23:59:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,True,0,0,93405,0,0,0,126784,4322
first,dresden,ok,7551006326,,2,,frame_lock,True,Tolkewitzer Str. / Frida-Markt,13.81270051,0,,True,True,51.04599434,2019-05-13 00:00:00,,0,False,"{""undefined"": 2}",False,False,0,0,93002,0,0,0,263935,4334
start,dresden,ok,7551006326,,3,,frame_lock,True,Tolkewitzer Str. / Frida-Markt,13.81270051,0,,True,True,51.04599434,2019-05-13 18:28:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93002,0,0,0,263935,4334
end,dresden,ok,7551006326,,3,,frame_lock,True,Tolkewitzer Str. / Frida-Markt,13.81270051,0,,True,True,51.04599434,2019-05-13 18:30:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93002,0,0,0,263935,4334
start,dresden,ok,7551006326,,3,,frame_lock,True,Tolkewitzer Str. / Frida-Markt,13.81270051,0,,True,True,51.04599434,2019-05-13 20:57:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93002,0,0,0,263935,4334
end,dresden,ok,7551006326,,3,,frame_lock,True,Tolkewitzer Str. / Frida-Markt,13.81270051,0,,True,True,51.04599434,2019-05-13 20:59:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93002,0,0,0,263935,4334
last,dresden,ok,7551006326,,3,,frame_lock,True,Tolkewitzer Str. / Frida-Markt,13.81270051,0,,True,True,51.04599434,2019-05-13 23:59:00,,0,False,"{""undefined"": 2, ""15"": 1}",False,False,0,0,93002,0,0,0,263935,4334
first,dresden,ok,7551004115,,1,Altkötzschenbroda,frame_lock,False,BIKE 93353,13.62923,0,,True,True,51.104875555556,2019-05-13 00:00:00,,0,False,"{""undefined"": 1}",True,False,0,0,93353,0,12,0,15600469,0
start,dresden,ok,7551004115,,1,Altkötzschenbroda,frame_lock,False,BIKE 93353,13.628841111111,0,,True,True,51.104835555556,2019-05-13 07:43:00,,0,False,"{""undefined"": 1}",True,False,0,0,93353,0,12,0,15600469,0
end,dresden,ok,7551004115,,3,,frame_lock,True,Kaditz / Am Vorwerksfeld,13.668118715286,0,,True,True,51.093024817266,2019-05-13 07:54:00,,0,False,"{""undefined"": 1, ""15"": 1, ""71"": 1}",False,False,0,0,93353,0,0,0,310795,4440
start,dresden,ok,7551004115,,2,,frame_lock,True,Kaditz / Am Vorwerksfeld,13.668118715286,0,,True,True,51.093024817266,2019-05-13 18:28:00,,0,False,"{""undefined"": 1, ""15"": 1}",False,False,0,0,93353,0,0,0,310795,4440
end,dresden,ok,7551004115,,2,,frame_lock,True,Kaditz / Am Vorwerksfeld,13.668118715286,0,,True,True,51.093024817266,2019-05-13 18:30:00,,0,False,"{""undefined"": 1, ""15"": 1}",False,False,0,0,93353,0,0,0,310795,4440
start,dresden,ok,7551004115,,1,,frame_lock,True,Kaditz / Am Vorwerksfeld,13.668118715286,0,,True,True,51.093024817266,2019-05-13 20:57:00,,0,False,"{""undefined"": 1}",False,False,0,0,93353,0,0,0,310795,4440
end,dresden,ok,7551004115,,1,,frame_lock,True,Kaditz / Am Vorwerksfeld,13.668118715286,0,,True,True,51.093024817266,2019-05-13 20:59:00,,0,False,"{""undefined"": 1}",False,False,0,0,93353,0,0,0,310795,4440
last,dresden,ok,7551004115,,2,,frame_lock,True,Kaditz / Am Vorwerksfeld,13.668118715286,0,,True,True,51.093024817266,2019-05-13 23:59:00,,0,False,"{""undefined"": 1, ""15"": 1}",False,False,0,0,93353,0,0,0,310795,4440
first,dresden,ok,7551006551,,1,,frame_lock,False,BIKE 93592,13.737632222222,0,,True,True,51.070986666667,2019-05-13 00:00:00,,0,False,"{""15"": 1}",True,False,15,0,93592,0,12,0,15665224,0
start,dresden,ok,7551006551,,1,,frame_lock,False,BIKE 93592,13.737593333333,0,,True,True,51.070493333333,2019-05-13 05:00:00,,0,False,"{""15"": 1}",True,False,15,0,93592,0,12,0,15665224,0
end,dresden,ok,7551006551,,1,,frame_lock,True,Friedensstraße/Conradstr.,13.741257190704,0,,True,True,51.071740277519,2019-05-13 14:20:00,,0,False,"{""15"": 1}",False,False,15,0,93592,0,0,0,264575,4373
start,dresden,ok,7551006551,,4,,frame_lock,True,Friedensstraße/Conradstr.,13.741257190704,0,,True,True,51.071740277519,2019-05-13 17:13:00,,0,False,"{""undefined"": 2, ""15"": 2}",False,False,15,0,93592,0,0,0,264575,4373
end,dresden,ok,7551006551,,3,,frame_lock,True,Pfotenhauer Straße,13.777585029602,0,,True,True,51.058585878272,2019-05-13 17:35:00,,0,False,"{""15"": 2, ""71"": 1}",False,False,15,0,93592,0,0,0,264601,4394
start,dresden,ok,7551006551,,3,,frame_lock,True,Pfotenhauer Straße,13.777585029602,0,,True,True,51.058585878272,2019-05-13 18:28:00,,0,False,"{""15"": 2, ""71"": 1}",False,False,15,0,93592,0,0,0,264601,4394
end,dresden,ok,7551006551,,3,,frame_lock,True,Pfotenhauer Straße,13.777585029602,0,,True,True,51.058585878272,2019-05-13 18:30:00,,0,False,"{""15"": 2, ""71"": 1}",False,False,15,0,93592,0,0,0,264601,4394
start,dresden,ok,7551006551,,2,,frame_lock,True,Pfotenhauer Straße,13.777585029602,0,,True,True,51.058585878272,2019-05-13 19:47:00,,0,False,"{""15"": 2}",False,False,15,0,93592,0,0,0,264601,4394
end,dresden,ok,7551006551,,1,,frame_lock,False,BIKE 93592,13.745218888889,0,,True,True,51.0716,2019-05-13 20:06:00,,0,False,"{""15"": 1}",True,False,15,0,93592,0,12,0,15710364,0
start,dresden,ok,7551006551,,4,,frame_lock,True,Bischofsplatz (S-Bahn),13.746272921562,0,,True,True,51.071925666476,2019-05-13 20:44:00,free,0,False,"{""undefined"": 2, ""15"": 2}",False,False,15,0,93592,0,0,0,10299456,4469
end,dresden,ok,7551006551,,1,,frame_lock,True,Bautzner Straße / Rothenburger Straße,13.75129,0,,True,True,51.06294,2019-05-13 20:51:00,free,0,False,"{""15"": 1}",False,False,15,0,93592,0,0,0,10299563,4482
start,dresden,ok,7551006551,,2,,frame_lock,True,Bautzner Straße / Rothenburger Straße,13.75129,0,,True,True,51.06294,2019-05-13 20:57:00,free,0,False,"{""15"": 2}",False,False,15,0,93592,0,0,0,10299563,4482
end,dresden,ok,7551006551,,2,,frame_lock,True,Bautzner Straße / Rothenburger Straße,13.75129,0,,True,True,51.06294,2019-05-13 20:59:00,free,0,False,"{""15"": 2}",False,False,15,0,93592,0,0,0,10299563,4482
start,dresden,ok,7551006551,,2,,frame_lock,True,Bautzner Straße / Rothenburger Straße,13.75129,0,,True,True,51.06294,2019-05-13 23:46:00,free,0,False,"{""15"": 2}",False,False,15,0,93592,0,0,0,10299563,4482
end,dresden,ok,7551006551,,2,,frame_lock,True,Beherbergungsschiff (Pöppelmann),13.732169866562,0,,True,True,51.064283655155,2019-05-13 23:54:00,,0,False,"{""15"": 2}",False,False,15,0,93592,0,0,0,316914,4422
last,dresden,ok,7551006551,,2,,frame_lock,True,Beherbergungsschiff (Pöppelmann),13.732169866562,0,,True,True,51.064283655155,2019-05-13 23:59:00,,0,False,"{""15"": 2}",False,False,15,0,93592,0,0,0,316914,4422
first,dresden,ok,7551006432,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 00:00:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,15,0,93646,0,0,0,264557,4355
start,dresden,ok,7551006432,,3,,frame_lock,True,Altpieschen,13.7167096138,0,,True,True,51.077648763812,2019-05-13 06:46:00,,0,False,"{""undefined"": 1, ""15"": 2}",False,False,15,0,93646,0,0,0,264557,4355
end,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.727768888889,0,,True,True,51.058031111111,2019-05-13 07:04:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15677431,0
start,dresden,ok,7551006432,,2,,frame_lock,True,Sächsische Zeitung / Haus der Presse,13.728811740875,6,,True,True,51.057284394171,2019-05-13 10:23:00,,0,False,"{""15"": 2}",False,False,15,0,93646,4,0,0,265880,4303
end,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.733965555556,0,,True,True,51.049137777778,2019-05-13 10:29:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15684839,0
start,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.733945555556,0,,True,True,51.049031111111,2019-05-13 10:51:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15684839,0
end,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.733644444444,0,,True,True,51.028391111111,2019-05-13 11:06:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15686174,0
start,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.733725555556,0,,True,True,51.028306666667,2019-05-13 11:30:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15686174,0
end,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.728694444444,0,,True,True,51.031484444444,2019-05-13 11:36:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15687278,0
start,dresden,ok,7551006432,,1,,frame_lock,False,BIKE 93646,13.728693333333,0,,True,True,51.031502222222,2019-05-13 11:52:00,,0,False,"{""15"": 1}",True,False,15,0,93646,0,12,0,15687278,0
end,dresden,ok,7551006432,,2,,frame_lock,True,Sächsische Landesbibliothek,13.736386299133,0,,True,True,51.028932638124,2019-05-13 11:57:00,free,0,False,"{""15"": 2}",False,False,15,0,93646,0,0,0,637839,4441
start,dresden,ok,7551006432,,3,,frame_lock,True,Sächsische Landesbibliothek,13.736386299133,0,,True,True,51.028932638124,2019-05-13 12:12:00,free,0,False,"{""undefined"": 1, ""15"": 2}",False,False,15,0,93646,0,0,0,637839,4441
end,dresden,ok,7551006432,,1,,frame_lock,True,Archivstr. / Wigardstr.,13.74954521656,0,,True,True,51.057844104252,2019-05-13 12:32:00,free,0,False,"{""15"": 1}",False,False,15,0,93646,0,0,0,637850,4442
start,dresden,ok,7551006432,,2,,frame_lock,True,Archivstr. / Wigardstr.,13.74954521656,0,,True,True,51.057844104252,2019-05-13 18:28:00,free,0,False,"{""undefined"": 1, ""15"": 1}",False,False,15,0,93646,0,0,0,637850,4442
end,dresden,ok,7551006432,,2,,frame_lock,True,Archivstr. / Wigardstr.,13.74954521656,0,,True,True,51.057844104252,2019-05-13 18:30:00,free,0,False,"{""undefined"": 1, ""15"": 1}",False,False,15,0,93646,0,0,0,637850,4442
start,dresden,ok,7551006432,,2,,frame_lock,True,Archivstr. / Wigardstr.,13.74954521656,0,,True,True,51.057844104252,2019-05-13 20:57:00,free,0,False,"{""undefined"": 1, ""15"": 1}",False,False,15,0,93646,0,0,0,637850,4442
end,dresden,ok,7551006432,,2,,frame_lock,True,Archivstr. / Wigardstr.,13.74954521656,0,,True,True,51.057844104252,2019-05-13 20:59:00,free,0,False,"{""undefined"": 1, ""15"": 1}",False,False,15,0,93646,0,0,0,637850,4442
last,dresden,ok,7551006432,,2,,frame_lock,True,Archivstr. / Wigardstr.,13.74954521656,0,,True,True,51.057844104252,2019-05-13 23:59:00,free,0,False,"{""undefined"": 1, ""15"": 1}",False,False,15,0,93646,0,0,0,637850,4442
first,dresden,ok,7551003880,,5,,frame_lock,True,Hubertusplatz,13.723366856575,0,,True,True,51.089746503946,2019-05-13 00:00:00,,0,False,"{""undefined"": 3, ""15"": 1, ""71"": 1}",False,False,0,0,93401,0,0,0,264558,4356
start,dresden,ok,7551003880,,5,,frame_lock,True,Hubertusplatz,13.723366856575,0,,True,True,51.089746503946,2019-05-13 18:28:00,,0,False,"{""undefined"": 4, ""15"": 1}",False,False,0,0,93401,0,0,0,264558,4356
end,dresden,ok,7551003880,,5,,frame_lock,True,Hubertusplatz,13.723366856575,0,,True,True,51.089746503946,2019-05-13 18:30:00,,0,False,"{""undefined"": 4, ""15"": 1}",False,False,0,0,93401,0,0,0,264558,4356
start,dresden,ok,7551003880,,5,,frame_lock,True,Hubertusplatz,13.723366856575,0,,True,True,51.089746503946,2019-05-13 20:57:00,,0,False,"{""undefined"": 4, ""15"": 1}",False,False,0,0,93401,0,0,0,264558,4356
end,dresden,ok,7551003880,,5,,frame_lock,True,Hubertusplatz,13.723366856575,0,,True,True,51.089746503946,2019-05-13 20:59:00,,0,False,"{""undefined"": 4, ""15"": 1}",False,False,0,0,93401,0,0,0,264558,4356
last,dresden,ok,7551003880,,4,,frame_lock,True,Hubertusplatz,13.723366856575,0,,True,True,51.089746503946,2019-05-13 23:59:00,,0,False,"{""undefined"": 3, ""15"": 1}",False,False,0,0,93401,0,0,0,264558,4356
first,dresden,ok,7551003361,,1,,frame_lock,False,BIKE 93538,13.836848888889,0,,True,True,51.023933333333,2019-05-13 12:54:00,,0,False,"{""undefined"": 1}",True,False,0,0,93538,0,12,0,15690601,0
last,dresden,ok,7551003361,,1,,frame_lock,False,BIKE 93538,13.836848888889,0,,True,True,51.023933333333,2019-05-13 14:54:00,,0,False,"{""undefined"": 1}",True,False,0,0,93538,0,12,0,15690601,0
first,dresden,ok,7551006213,,1,,frame_lock,False,BIKE 93770,13.703097777778,0,,True,True,51.032528888889,2019-05-13 00:00:00,,0,False,"{""15"": 1}",True,False,15,0,93770,0,12,0,15666612,0
start,dresden,ok,7551006213,,1,,frame_lock,False,BIKE 93770,13.703286666667,0,,True,True,51.032342222222,2019-05-13 08:14:00,,0,False,"{""15"": 1}",True,False,15,0,93770,0,12,0,15666612,0
end,dresden,ok,7551006213,,1,,frame_lock,True,Rathaus Plauen,13.707064390182,0,,True,True,51.029401598405,2019-05-13 08:19:00,free,0,False,"{""15"": 1}",False,False,15,0,93770,0,0,0,10299481,4470
start,dresden,ok,7551006213,,1,,frame_lock,True,Rathaus Plauen,13.707064390182,0,,True,True,51.029401598405,2019-05-13 08:49:00,free,0,False,"{""15"": 1}",False,False,15,0,93770,0,0,0,10299481,4470
end,dresden,ok,7551006213,,2,,frame_lock,True,Cottaer Straße (Haltestelle),13.712477087975,0,,True,True,51.050166045123,2019-05-13 09:02:00,free,0,False,"{""15"": 1, ""71"": 1}",False,False,15,0,93770,0,0,0,10299537,4481
start,dresden,ok,7551006213,,2,,frame_lock,True,Cottaer Straße (Haltestelle),13.712477087975,0,,True,True,51.050166045123,2019-05-13 09:04:00,free,0,False,"{""15"": 1, ""71"": 1}",False,False,15,0,93770,0,0,0,10299537,4481
